,title,salary_standardized,location,habilidades
3194,Business Intelligence Analyst - Pharmacy Analytics,77250.0,"Santa Fe, NM","('sql', 'powerbi', 'tableau')"
3195,Clinical Data Analyst,85820.80000000002,"Englewood, CO","('sql', 'powerbi', 'excel')"
3197,Clinical Data Analyst with SQL and Reporting Expertise,94400.8,"Englewood, CO","('sql',)"
3198,Healthcare Data Analyst - Limited Term,132132.0,United States,"('python', 'sql')"
3200,Senior Data Analyst - Customer Experience Analytics,103584.0,"Jefferson City, MO","('python', 'sql', 'powerbi', 'excel', 'tableau')"
3201,Senior Marketing Analytics Business Analyst,94299.6,Anywhere,"('python', 'sql', 'powerbi', 'excel')"
3202,Analyst,65000.0,"Galena, KS","('python', 'sql', 'powerbi', 'tableau')"
3205,Business Intelligence Systems Analyst,140400.0,"Westminster, CO","('python', 'sql', 'powerbi', 'tableau')"
3206,Data Analyst,75000.0,"Colorado Springs, CO","('python', 'sql', 'powerbi', 'excel', 'tableau')"
3207,Non-Commissioned Crime Data Analyst,70241.59999999999,Kansas,"('python', 'sql', 'excel')"
3208,ERP Analyst,101628.8,Colorado,"('powerbi', 'tableau')"
3211,Operations Analyst,90000.0,"Santa Fe, NM","('sql', 'excel', 'tableau')"
3213,Sr. Business & Information Analyst(s),166400.0,United States,"('machine_learning',)"
3214,Entry Level Data Analyst,65500.0,"Grandview, MO","('sql', 'powerbi', 'excel', 'tableau')"
3218,Supply Chain Data Analyst,61000.0,"Denver, CO","('excel',)"
3219,Data Analyst Remote-Full Time/Part Time,72500.0,Anywhere,"('python', 'tableau')"
3220,Data Analyst,61700.0,"Broomfield, CO","('sql', 'excel', 'tableau')"
3222,Sales Business Intelligence Analyst,148720.0,"Westminster, CO","('python', 'sql', 'powerbi', 'tableau')"
3223,Sr. Data Analyst,95450.0,"Tysons, VA","('sql',)"
3225,Requirements Data Analyst,172500.0,"Colorado Springs, CO","('powerbi',)"
3228,Senior Web Analyst,100000.0,"Denver, CO","('sql',)"
3229,Contract Statistician,114400.0,Colorado,"('excel',)"
3234,Data Entry Analyst,58240.0,"Kansas City, MO","('excel',)"
3253,"Data Analyst, focusing on report creation in Google Sheets / Google Slides - Contract to Hire",59280.0,Anywhere,"('sql', 'excel')"
3255,Market Data Analysis in Python with AI/ML Techniques,93600.0,Anywhere,"('python', 'machine_learning')"
3257,Business Data Analyst and Developer,104000.0,Anywhere,"('sql',)"
3270,Experienced Data Analyst with Exceptional Data Analytics Skills,31200.0,Anywhere,"('python', 'sql', 'powerbi')"
3272,"Data Analyst Needed for High-Impact Health, Wellness & Fitness Brands (CRO Agency)",68640.0,Anywhere,"('python', 'sql', 'tableau', 'r')"
3273,"Data Analyst & Writer - Familiar with Scraping, Analayis, Digital PR and Excellent Writer",48880.0,Anywhere,"('python',)"
3279,Data Analyst Content Creator,69680.0,Anywhere,"('powerbi', 'excel')"
3286,Power BI Dax Data Analyst,46800.0,Anywhere,"('powerbi',)"
3288,Data Analyst and Excel Macro Developer,69680.0,Anywhere,"('excel',)"
3290,Looking for someone who can query thousands of lines of excel data quickly,62400.0,Anywhere,"('excel',)"
3295,Looking for statistical expert to drive insights and support decision-making.,78000.0,Anywhere,"('python',)"
3306,Part-Time Senior Data Analyst for Ongoing Project Work,43680.0,Anywhere,"('sql', 'powerbi', 'excel', 'tableau')"
3308,Data Cleanup & Visualization on Quickbooks Customers,71760.0,Anywhere,"('python', 'excel')"
3309,We’re seeking a skilled statistician and data analyst to help us analyze complex datasets,114400.0,Anywhere,"('python',)"
3325,Seeking Expert Data Engineer for Python & ETL Pipeline Upskilling (Data Analyst to Engineer),31200.0,Anywhere,"('python', 'aws')"
3326,"Part-Time Data Analyst & Designer (GA4, Excel, Looker Studio, Canva) – Flexible, Ad-Hoc Hours",67600.0,Anywhere,"('excel',)"
3336,Expert Data Scientist for Stock Market Data Modeling,114400.0,Anywhere,"('python',)"
3340,Data Analyst for AI-Driven Horse Racing Predictions,57200.0,Anywhere,"('machine_learning',)"
3343,"Experienced Data Analysts/Scientists needed to predict trends, optimize inventory, and grow revenue - Contract to Hire",114400.0,Anywhere,"('python', 'sql', 'excel', 'tableau', 'r')"
3344,Sr. Programmer Analyst,25251.2,Anywhere,"('sql', 'azure', 'machine_learning')"
3426,Human Resource Data Analyst,121680.0,Anywhere,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
3427,Mortgage Loan Origination Business/Data Analyst- W2 Only (No H1b or CPT/OPT),156000.0,Anywhere,"('sql',)"
3470,Revenue Systems Analyst,125000.0,"Denver, CO","('excel',)"
3471,"Credit Strategy Analyst, Data Scientist",147000.0,Anywhere,"('python', 'sql', 'excel')"
3472,Quantitative Researcher - Fundamental Equities,550000.0,United States,"('python',)"
3505,Practice Analyst,48000.0,United States,"('powerbi', 'excel')"
3538,Data Analyst,135000.0,"Williamstown, WV","('azure', 'aws')"
3539,Data Program Officer,103500.0,"Denver, CO","('python', 'sql', 'powerbi', 'excel')"
